group_id	Group Name	Patent Number
Y02B	"Climate Change Mitigation Technologies Related To Buildings, E.G. Housing, House Appliances Or Related End-User Applications"	33081
Y02C	"Capture, Storage, Sequestration Or Disposal Of Greenhouse Gases [Ghg]"	3660
Y02D	"Climate Change Mitigation Technologies In Information And Communication Technologies [Ict], I.E. Information And Communication Technologies Aiming At The Reduction Of Their Own Energy Use"	36547
Y02E	"Reduction Of Greenhouse Gas [Ghg] Emissions, Related To Energy Generation, Transmission Or Distribution"	99939
Y02P	Climate Change Mitigation Technologies In The Production Or Processing Of Goods	56482
Y02T	Climate Change Mitigation Technologies Related To Transportation	71508
Y02W	Climate Change Mitigation Technologies Related To Wastewater Treatment Or Waste Management	8367
Y04S	"Systems Integrating Technologies Related To Power Network Operation, Communication Or Information Technologies For Improving The Electrical Power Generation, Transmission, Distribution, Management Or Usage, I.E. Smart Grids"	10566
Y10S	Technical Subjects Covered By Former Uspc Cross-Reference Art Collections [Xracs] And Digests	85489
Y10T	Technical Subjects Covered By Former Us Classification	210363
